"gene_name","gene_id","baseMean","log2FoldChange","stat","pvalue","padj","B_statistic"
"GXYLT2","ENSG00000172986",0.71740802388947,2.52762050045517,6.36270170365837,6.87078920113079e-07,9.47973993750343e-05,5.7902844741575
"PALLD","ENSG00000129116",5.9186950087887,1.09211367540872,6.35058972009939,7.09600792904577e-07,9.65354812948646e-05,5.8879192132265
"CDC42EP5","ENSG00000167617",0.31231037392725,1.81674308330868,6.35084848480986,7.0911189357285e-07,9.65354812948646e-05,5.67393531892702
"HEPH","ENSG00000089472",2.66154222265223,1.48834097608784,6.33182193494472,7.45985947229374e-07,0.000100088631117481,5.94200815766639
"SOX9","ENSG00000125398",4.713033074778,3.24970722121247,6.32923193380092,7.51153497643276e-07,0.000100088631117481,5.88603251350906
"FAM129B","ENSG00000136830",5.01253226332517,1.68008816982027,6.33163818041326,7.46351383159094e-07,0.000100088631117481,5.84044246512724
"LYPD1","ENSG00000150551",0.0137230682474848,4.16455971622937,6.32062556010931,7.68586756133917e-07,0.000101714875876389,5.44461382661841
"SPINT2","ENSG00000167642",2.77879618753018,1.83783937562893,6.31798862965318,7.74009776884985e-07,0.000101740447294057,5.90768109765847
"KRT7","ENSG00000135480",4.71413029847704,3.32915731872137,6.31255135215538,7.85314567378666e-07,0.000102533621434796,5.8410516607495
"PLAT","ENSG00000104368",3.83956677997708,1.64199432266287,6.30937467557734,7.91996528942724e-07,0.000102716669827012,5.83394549951965
"MGP","ENSG00000111341",3.64029843562003,2.72198364503808,6.30361560062674,8.04257608607855e-07,0.0001036160762772,5.85208279990517
"LAMC3","ENSG00000050555",5.38475246998415,2.22969318627505,6.28707816425963,8.40545248880904e-07,0.000106937205315526,5.73384054170633
"HOOK3","ENSG00000168172",5.99466352283726,0.593741568146123,6.28686229424591,8.41029732357122e-07,0.000106937205315526,5.71972638849327
"CLIP3","ENSG00000105270",3.47525725901411,1.98792496799155,6.27866593047703,8.59635811705146e-07,0.00010720099410841,5.78044166243879
"C21orf91","ENSG00000154642",3.31489919418924,-1.59071251671978,-6.27947775245459,8.57774492794923e-07,0.00010720099410841,5.781730610039
"ARSJ","ENSG00000180801",2.55469129386497,1.51837552739838,6.28144018371154,8.53291932508284e-07,0.00010720099410841,5.81558090983571
"TANC2","ENSG00000170921",4.39194525854186,1.93885011235575,6.2694601964752,8.81030763547103e-07,0.00010916925142704,5.69656252990625
"HSPG2","ENSG00000142798",8.50628996972293,1.16248402855096,6.26573900010843,8.89831459957691e-07,0.000109561906468462,5.76428389670789
"SLC12A2","ENSG00000064651",5.56387224739981,2.5259013602044,6.26306604013297,8.96207944494605e-07,0.000109653014793698,5.67892851712338
"MEGF6","ENSG00000162591",3.40122783320973,2.04455447110858,6.25628250027276,9.12598921336686e-07,0.000110960621348024,5.71291065668449
"HADHB","ENSG00000138029",6.61830468720935,-1.07119355828883,-6.24398098100487,9.43101269546189e-07,0.000113957093774854,5.62924563963946
"NAV3","ENSG00000067798",3.25600097662194,2.24156194335591,6.22383419832307,9.95302806018336e-07,0.000115401406973872,5.65282723986444
"PPP2R3A","ENSG00000073711",3.14415773457788,1.48360901227366,6.22293499103781,9.97699737476902e-07,0.000115401406973872,5.64483699293226
"LAMA4","ENSG00000112769",4.25015014976196,1.20756021667428,6.22487757683395,9.92528875470004e-07,0.000115401406973872,5.57562744727331
"TMEM54","ENSG00000121900",2.02076976478012,1.96703257538837,6.23198028319429,9.73852396789628e-07,0.000115401406973872,5.67761846928467
"KCNK15","ENSG00000124249",-0.0708454480427178,2.2759749446592,6.23485589853208,9.66392538019367e-07,0.000115401406973872,5.26476039928278
"PODN","ENSG00000174348",4.94552950103577,2.77546211924374,6.22614896600605,9.89159329797715e-07,0.000115401406973872,5.59057054791189
"F2R","ENSG00000181104",5.3837592696286,0.971427922333283,6.23226284388853,9.73116808681041e-07,0.000115401406973872,5.56784433696513
"SESTD1","ENSG00000187231",4.69170455473576,0.831681975010285,6.22113684509861,1.00251042349051e-06,0.000115401406973872,5.54284089398954
"NBL1","ENSG00000158747",2.08539654297133,2.43115859441555,6.21538495263257,1.01805705447892e-06,0.00011650165845784,5.64144580237873
"PTGFRN","ENSG00000134247",4.84926478605384,1.22954362671101,6.20694288043509,1.04131797990464e-06,0.000118466666555935,5.50899324796494
"STARD4","ENSG00000164211",3.70048681867111,-1.43462102293559,-6.20115010283705,1.05758966622986e-06,0.000118926874952808,5.55118226179351
"TMTC2","ENSG00000179104",2.0027749602667,1.7630022454328,6.2026700710235,1.05329539424305e-06,0.000118926874952808,5.60665616049394
"CXCL8","ENSG00000169429",4.39141839089673,3.07067368906338,6.19169505514188,1.08470327027203e-06,0.000121274812757885,5.51795373963548
"NALCN","ENSG00000102452",1.49887723645803,4.91174376234052,6.18700597618236,1.09840970775849e-06,0.000122105499741335,5.38347656057837
"GCNT4","ENSG00000176928",2.29260969183504,1.64328445097784,6.18004254340219,1.11908832781944e-06,0.000123697410962497,5.55697352933673
"RAB27A","ENSG00000069974",4.51739475338449,-0.902901848267401,-6.17340168579627,1.13917598097615e-06,0.000125206381547514,5.42720234333202
"SLIT2","ENSG00000145147",3.15492326447735,2.10093167638804,6.15712761328562,1.18995936379355e-06,0.000129794487793579,5.48540724773936
"AL133415.1","ENSG00000234961",2.70820892287461,1.44390646638421,6.15578058316656,1.19426407500004e-06,0.000129794487793579,5.48901322188686
"TGFA","ENSG00000163235",3.1348846660992,1.06759558679612,6.15013601927812,1.21247445215983e-06,0.000131041544401763,5.45065253897499
"TIMP1","ENSG00000102265",8.23504587937211,1.90766450415167,6.14242175876503,1.2378172989528e-06,0.000132310427108944,5.43960325923465
"UNC5B","ENSG00000107731",4.09378043524808,1.65392890967813,6.14381414071008,1.23320374076441e-06,0.000132310427108944,5.38117299259615
"MACROD1","ENSG00000133315",3.34109154593758,-1.22731535710983,-6.13473214670776,1.263612593225e-06,0.00013432961414535,5.39936283008815
"SPA17","ENSG00000064199",1.47882825192794,1.911328271313,6.12768950186924,1.28771450311637e-06,0.000135859412339881,5.36773820834171
"NEDD9","ENSG00000111859",5.94757340780977,1.26581893763592,6.12645979334971,1.29197035483078e-06,0.000135859412339881,5.301400529258
"PTGIR","ENSG00000160013",2.56881409996918,2.23776138486645,6.12152852366905,1.30918021135201e-06,0.000136928988342161,5.40740979863962
"CELSR1","ENSG00000075275",3.04577410277459,2.64143022960901,6.11183447501469,1.34369092208349e-06,0.000138916124881719,5.37270958576669
"PKIB","ENSG00000135549",0.616480731204397,1.82601338987585,6.11019948642182,1.34960150111262e-06,0.000138916124881719,5.17046833021879
"AGRN","ENSG00000188157",6.37422949193821,1.31540060022945,6.11278463382659,1.34026807774485e-06,0.000138916124881719,5.28024648470281
"PDGFRB","ENSG00000113721",6.10509784052058,1.93680129425963,6.10570130652373,1.36599873437181e-06,0.000139863891465628,5.26152089817468
"MRC2","ENSG00000011028",4.66509459812336,1.21589268262648,6.0932326544683,1.41251195060217e-06,0.000143118192489086,5.21102179083838
"ACACB","ENSG00000076555",7.48608275951492,-1.48911608019183,-6.08937899078782,1.42720928050184e-06,0.000143118192489086,5.26518093372746
"CCDC8","ENSG00000169515",1.66145014411862,2.93523955167256,6.09100755459864,1.42097939242104e-06,0.000143118192489086,5.27132691867861
"CHD3","ENSG00000170004",4.85122574618993,1.28473702928311,6.09364515943458,1.41094781092674e-06,0.000143118192489086,5.20907878795855
"STMN2","ENSG00000104435",0.881318203711092,5.97111234891835,6.08691169047223,1.43670032419856e-06,0.000143331118497225,4.94459830189108
"SDHC","ENSG00000143252",5.9697905430625,-0.893970021442834,-6.074324719494,1.48612169075098e-06,0.000147505160060559,5.15774469860021
"ZRANB1","ENSG00000019995",4.98703769677097,-1.09633852205571,-6.05922130179372,1.54769856079636e-06,0.000150544639008661,5.1123842248407
"OGFRL1","ENSG00000119900",5.03775730566401,1.0532456096707,6.05980492456635,1.54527187403142e-06,0.000150544639008661,5.11371678397527
