Gene,Log2change,p-value,adj_pvalue
ACPM,-1.04696105565161,1.890149465364e-18,2.17677511563412e-16
ACS2A,-1.24578283459934,9.11609877121001e-20,1.59863222996946e-17
ACS2B,-1.11330643760296,4.7650368717574e-18,4.96851682465947e-16
ACS2L,0.251794216816945,0.00012677048224951,0.000422714365184624
ACSA,-0.802295804941647,2.45796466257247e-08,2.02841233544483e-07
ACSF2,-0.317797232928007,0.00047536574001665,0.00137118581307233
ACSF3,0.0629851358613258,0.244345849737386,0.316178530366203
ACSL1,-1.21668331904067,9.33651995895399e-24,9.00507350041112e-21
ACSL3,0.101601671720944,0.0515782561934308,0.083486013171494
ACSL4,0.333648135500756,0.0157714653164348,0.0299146082550666
ACSL5,-0.807316999289542,1.90920511066088e-14,7.44011446154513e-13
ACSL6,-0.750311504635991,1.22619662189062e-06,6.71492770369626e-06
ACSM1,-0.741460083021444,0.036439391670569,0.0616322547413657
ACSM3,-1.14728911277419,2.17750963614246e-23,1.68016643524752e-20
ACSM5,-0.435812052662018,2.74733472238547e-06,1.39006129297877e-05
ACSS3,-0.0336689655800832,0.746136137468571,0.798610963615965
ACTA,0.622339099541376,9.50456412378389e-11,1.42957537581124e-09
ACTB,0.258292176136495,4.80153251642619e-05,0.000178978864235481
ACTBL,-0.112386541828783,0.367183737928812,0.444282534398418
ACTBM,0.278686588988519,0.00021923097034723,0.000686241852819159
ACTC,1.31677251216335,0.00023628536781127,0.000733083191810116
ACTG,-0.181807342675461,0.23358298831924,0.304568113959379
ACTN1,0.228138963321905,7.50433725555984e-07,4.33733829692133e-06
ACTN2,0.160943415642364,0.00232559416079369,0.00562516756886649
ACTN3,-0.322177371053588,0.018447904273087,0.0342123377108896
ACTN4,0.284971269585073,1.05498951154636e-07,7.50257978902462e-07
ACTY,0.0916835878607105,0.0483190547086855,0.0788057125622949
ACTZ,-0.0172292481259643,0.645708047906226,0.707610182878063
ACY1,-0.70793907554693,6.24611244741096e-13,1.7398918283113e-11
ACY2,-0.529960837447149,9.45263738361362e-06,4.21598555213657e-05
ACY3,-0.842928160633635,3.26530920730409e-06,1.61922402593563e-05
ACYP1,0.247504665903968,0.00873536176585891,0.0179356177182989
ACYP2,-0.478576335943316,2.65278266352033e-08,2.15688841219419e-07
ADA,0.231085825081916,0.0206408436466856,0.0376535478681229
ADA10,0.269766878563317,4.61556629293067e-05,0.000172966049131875
ADA17,0.530810882686791,0.00015776742063578,0.000513209703889409
ADA2A,0.730636478229639,0.00020750731172462,0.000654054909014366
ADAL,-0.724181374218438,0.00056940159464634,0.00160346814025225
ADAM9,0.339650505333143,0.00135493517142228,0.00346985721297521
ADAP1,1.03210366506165,1.04299902940396e-06,5.80229308643184e-06
ADAP2,0.39667793295591,0.00782356459902705,0.0163241277571911
ADAS,0.0808650145394585,0.124473277793647,0.177759728198368
ADCK1,-0.464198792020684,0.00086518813255582,0.00233256171586328
ADCK5,0.190207751030241,0.184762846680099,0.248844497291612
ADCY1,-0.32295608158156,0.0155292291553585,0.0295059177943231
ADCY9,-0.0781971867653471,0.375567578018985,0.453076834270558
ADDA,0.431083753641743,2.59023417969336e-08,2.1127110920205e-07
